"Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt"
"TT * O2 + TT * sex + TT * CA + O2 * CA",10,-112.667354887039,0,1,0.922963659878344,67.6917021348774,0.922963659878344
"TT * O2 + TT * sex * O2 + TT * O2 * CA",13,-107.069059190577,5.59829569646148,0.0608619041129436,0.0561733257672472,68.8678629286219,0.979136985645591
"TT * O2 + TT * sex * O2 + TT * O2 * CA + TT * O2 * IOD",17,-103.328335320641,9.33901956639815,0.00937686509731185,0.00865450572840044,72.7993027954554,0.987791491373991
"TT * O2 + TT * sex * O2",9,-102.26090517213,10.4064497149082,0.00549880294137988,0.00507519528772577,61.228013561675,0.992866686661717
"TT * O2 + TT * CA * O2",9,-101.853721600579,10.8136332864592,0.00448589771881613,0.00414032057639844,61.0244217758995,0.997007007238116
"TT * O2",5,-98.3219493547054,14.3454055323333,0.000767246239178203,0.000708140396939809,54.509811886655,0.997715147635055
"TT * O2 + TT * sex * O2 + TT * O2 * CA + TT * O2 * FM",17,-98.2780690319854,14.3892858550533,0.000750596054659154,0.000692772881698458,70.2741696511278,0.998407920516754
"TT * O2 + TT * sex * O2 + TT * O2 * IOD",13,-97.8732557953248,14.7940990917139,0.000613058897522161,0.000565831083778036,64.2699612309957,0.998973751600532
"TT * O2 + TT * sex * O2 + TT * O2 * CA + TT * O2 * CN",17,-97.3170963532263,15.3502585338124,0.000464230544073328,0.000428467921985234,69.7936833117483,0.999402219522517
"TT * O2 + TT * sex * O2 + TT * O2 * CA",13,-96.2460757624559,16.4212791245828,0.000271746866651306,0.000250812482604962,63.4563712145613,0.999653032005122
"TT * O2 + TT * sex * O2 + TT * O2 * CA",13,-95.6216958523621,17.0456590346766,0.00019887590567245,0.000183555233761064,63.1441812595144,0.999836587238883
"TT * O2 + TT * IOD * O2",9,-94.0771329787333,18.5902219083054,9.1872303166426e-05,8.47947971719373e-05,57.1361274649764,0.999921382036055
"TT * O2 + TT * FM * O2",9,-92.5848348118662,20.0825200751725,4.35648451134023e-05,4.0208768887899e-05,56.3899783815428,0.999961590804943
"TT * O2 + TT * CN * O2",9,-92.4653597775205,20.2019951095182,4.10385965521395e-05,3.78771332700334e-05,56.33024086437,0.999999467938213
"TT",3,-83.9346732941987,28.73268159284,5.7647100325044e-07,5.32061786973767e-07,45.103700283463,1
